tier,id,name,brand,subBrand,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
gold,g1,The St. Pierre,Spring Air,Chattam & Wells,3,Plush,,Hybrid|Cooling|Cashmere|Camelhair|Microcoils|Latex|Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury sleep with premium materials like natural latex, cashmere, and individually wrapped coils — engineered to cradle your body in luxurious comfort night after night.",yes,plush|cooling|pressure-relief|hybrid|motion-isolation|cashmere|camelhair|latex|microcoils|hand-tufting|soft|zoned|durability|hypoallergenic|quality,Natural cashmere and camelhair cover wicks heat and moisture away,"Natural latex, plush comfort layers, and microcoils contour gently to shoulders and hips",Individually wrapped coils with microcoil transition layer minimize partner disturbance,Individually wrapped coil system with zoned support for proper spinal alignment,"Welcoming, soft plush feel for side sleepers and those with pressure-point pain",,,Handcrafted luxury construction with premium natural materials built to last,"Handcrafted luxury sleep with premium materials like natural latex, cashmere, and individually wrapped coils — engineered to cradle your body in luxurious comfort night after night."
gold,g2,The Roma,Spring Air,Chattam & Wells,5,Medium,,Hybrid|Cooling|Cashmere|Camelhair|Microcoils|Latex|Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury sleep with premium materials like natural latex, cashmere, and individually wrapped coils — engineered to cradle your body in luxurious comfort night after night.",yes,medium|cooling|pressure-relief|hybrid|motion-isolation|cashmere|camelhair|latex|microcoils|hand-tufting|zoned|durability|hypoallergenic|quality,Natural cashmere and camelhair cover wicks heat and moisture away,"Natural latex, balanced comfort layers, and microcoils provide responsive pressure relief",Individually wrapped coils with microcoil transition layer minimize partner disturbance,Individually wrapped coil system with zoned support for proper spinal alignment,,Perfect medium feel for most sleepers and all sleep positions,,Handcrafted luxury construction with premium natural materials built to last,"Handcrafted luxury sleep with premium materials like natural latex, cashmere, and individually wrapped coils — engineered to cradle your body in luxurious comfort night after night."
gold,g3,The Palermo,Spring Air,Chattam & Wells,8,Firm,,Hybrid|Cooling|Cashmere|Camelhair|Microcoils|Latex|Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury sleep with premium materials like natural latex, cashmere, and individually wrapped coils — engineered to cradle your body in luxurious comfort night after night.",yes,firm|cooling|pressure-relief|hybrid|motion-isolation|cashmere|camelhair|latex|microcoils|hand-tufting|zoned|durability|hypoallergenic|quality,Natural cashmere and camelhair cover wicks heat and moisture away,Natural latex and microcoils deliver responsive pressure relief without sacrificing firmness,Individually wrapped coils with microcoil transition layer minimize partner disturbance,Individually wrapped coil system with zoned support for proper spinal alignment,,,Firm feel for back and stomach sleepers and larger builds,Handcrafted luxury construction with premium natural materials built to last,"Handcrafted luxury sleep with premium materials like natural latex, cashmere, and individually wrapped coils — engineered to cradle your body in luxurious comfort night after night."
gold,g4,Vail Latex Euro Top Firm,Spring Air,Chattam & Wells,7,Medium-Firm,,Latex|Hand-Tufted|Back Supporter,All Latex|Cooling|Durability|Support,"Experience handcrafted luxury and the naturally cool, buoyant feel of pure latex — Chattam & Wells sets a new standard for premium sleep.",yes,medium|firm|cooling|support|hybrid|responsive|quality|hand-tufting|lifetime-warranty|latex|zoned|durability|hypoallergenic|adjustable,Phase change technology - cool-to-the-touch fabrics that adjust to temperature,"Talalay latex for natural and durable pressure-relieving comfort layer. Breathable, antimicrobial, and hypo-allergenic",Pocketed coils minimize partner disturbance,QUANTUM ENCASED COIL UNIT with 1575 individually encased 17 gauge coils,,,Medium-firm euro top feel ideal for back sleepers who want surface comfort with solid support,"Hand-tufted, lifetime warranty","Experience handcrafted luxury and the naturally cool, buoyant feel of pure latex — Chattam & Wells sets a new standard for premium sleep."
gold,g5,Vail Latex Euro Top Plush,Spring Air,Chattam & Wells,2,Plush,,Latex|Hand-Tufted|Back Supporter,All Latex|Cooling|Durability|Support,"Experience handcrafted luxury and the naturally cool, buoyant feel of pure latex — Chattam & Wells sets a new standard for premium sleep.",yes,plush|cooling|support|hybrid|responsive|quality|hand-tufting|lifetime-warranty|latex|soft|zoned|durability|hypoallergenic|adjustable,Phase change technology - cool-to-the-touch fabrics that adjust to temperature,"Talalay latex for natural and durable pressure-relieving comfort layer. Breathable, antimicrobial, and hypo-allergenic",Pocketed coils minimize partner disturbance,QUANTUM ENCASED COIL UNIT with 1575 individually encased 17 gauge coils,Cloud-like plush euro top feel for side sleepers,,,"Hand-tufted, lifetime warranty","Experience handcrafted luxury and the naturally cool, buoyant feel of pure latex — Chattam & Wells sets a new standard for premium sleep."
gold,g6,Belmont Euro Top Plush,Spring Air,Reserve,2,Plush,,Hybrid|Cooling|Latex|Wool|Tencel|Hand-Tufted|Zoned Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury from Spring Air Reserve — Belmont pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience.",yes,plush|cooling|pressure-relief|hybrid|motion-isolation|latex|wool|tencel|hand-tufting|soft|zoned|durability|hypoallergenic|quality|edge-support|memory,Tencel cooling cover with phase-change foam and New Zealand wool for a temperature-neutral sleep surface,Talalay latex and Serene Specialty Foam deliver 30% more pressure relief with responsive contouring,Individually-pocketed zoned coils plus Nano micro-coils minimize partner disturbance,"Individually-pocketed zoned coils with 25% more support through the middle third, plus Deluxe Edge Support foam encasement",Cloud-like plush euro top feel with Talalay latex and New Zealand wool — ideal for side sleepers and pressure-point relief,,,"Hand-tufted construction, Talalay latex, and tempered zoned coils (2015 in Queen) built to last a lifetime","Handcrafted luxury from Spring Air Reserve — Belmont pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience."
gold,g7,Belmont Medium,Spring Air,Reserve,5,Medium,,Hybrid|Cooling|Latex|Wool|Tencel|Hand-Tufted|Zoned Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury from Spring Air Reserve — Belmont pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience.",yes,medium|cooling|pressure-relief|hybrid|motion-isolation|latex|wool|tencel|hand-tufting|zoned|durability|hypoallergenic|quality|edge-support|memory,Tencel cooling cover with phase-change foam and New Zealand wool for a temperature-neutral sleep surface,Talalay latex and Serene Specialty Foam deliver 30% more pressure relief with responsive contouring,Individually-pocketed zoned coils plus Nano micro-coils minimize partner disturbance,"Individually-pocketed zoned coils with 25% more support through the middle third, plus Deluxe Edge Support foam encasement",,"Perfect medium feel for most sleepers and all sleep positions, with balanced Talalay latex responsiveness",,"Hand-tufted construction, Talalay latex, and tempered zoned coils (2015 in Queen) built to last a lifetime","Handcrafted luxury from Spring Air Reserve — Belmont pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience."
silver,s1,Copper ET Quilted Cushion Firm,Spring Air,Copper by Spring Air,7,Firm,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep",yes,firm|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,,Extra firm for stomach sleepers and larger builds,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep"
silver,s2,Copper ET Quilted Euro Top Plush,Spring Air,Copper by Spring Air,2,Plush,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep",yes,plush|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|soft|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils","Welcoming, soft plush feel for side sleepers",,,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep"
silver,s3,Copper Hybrid Smooth Top Firm,Spring Air,Copper by Spring Air,9,Firm,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep",yes,firm|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,,Extra firm for stomach sleepers and larger builds,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, Copper by Spring Air delivers cooler, deeper, more restorative sleep"
